"date","value"
"2014/10/26","359"
"2014/10/28","360"
"2014/10/31","348"
"2014/11/1","341"
"2014/11/2","329"
"2014/11/6","353"
"2014/11/7","353"
"2014/11/8","347"
"2014/11/12","430"
"2014/11/13","457"
"2014/11/16","391"
"2014/11/18","392"
"2014/11/19","386"
"2014/11/21","358"
"2014/11/24","387"
"2014/11/25","395"
"2014/11/27","374"
"2014/11/30","383"
"2014/12/1","384"
"2014/12/2","384"
"2014/12/6","378"
"2014/12/7","376"
"2014/12/8","376"
"2014/12/10","352"
"2014/12/12","353"
"2014/12/13","352"
"2014/12/14","353"
"2014/12/18","324"
"2014/12/19","319"
"2014/12/23","336"
"2014/12/24","335"
"2014/12/25","323"
"2014/12/26","331"
"2014/12/30","315"
"2014/12/31","320"
"2015/1/1","320"
"2015/1/5","278"
"2015/1/6","288"
"2015/1/7","299"
"2015/1/11","280"
"2015/1/12","272"
"2015/1/17","212"
"2015/1/18","219"
"2015/1/20","215"
"2015/1/22","237"
"2015/1/23","235"
"2015/1/24","248"
"2015/1/26","309"
"2015/1/29","239"
"2015/1/30","243"
"2015/2/3","246"
"2015/2/4","230"
"2015/2/5","239"
"2015/2/10","222"
"2015/2/11","223"
"2015/2/12","222"
"2015/2/15","266"
"2015/2/16","240"
"2015/2/17","246"
"2015/2/19","243"
"2015/2/21","255"
"2015/2/22","246"
"2015/2/23","240"
"2015/2/26","238"
"2015/2/27","257"
"2015/2/28","255"
"2015/3/1","262"
"2015/3/3","286"
"2015/3/6","278"
"2015/3/7","278"
"2015/3/8","278"
"2015/3/10","300"
"2015/3/12","297"
"2015/3/13","295"
"2015/3/18","285"
"2015/3/19","264"
"2015/3/21","262"
"2015/3/23","277"
"2015/3/24","267"
"2015/3/25","249"
"2015/3/27","257"
"2015/3/30","249"
"2015/3/31","249"
"2015/4/1","248"
"2015/4/5","261"
"2015/4/6","262"
"2015/4/11","240"
"2015/4/12","238"
"2015/4/15","224"
"2015/4/17","229"
"2015/4/18","224"
"2015/4/22","238"
"2015/4/23","236"
"2015/4/24","236"
"2015/4/26","227"
"2015/4/29","227"
"2015/4/30","240"
"2015/5/2","236"
"2015/5/3","243"
"2015/5/4","243"
"2015/5/5","239"
"2015/5/6","236"
"2015/5/9","248"
"2015/5/11","244"
"2015/5/12","243"
"2015/5/13","244"
"2015/5/14","238"
"2015/5/16","238"
"2015/5/17","238"
"2015/5/18","237"
"2015/5/19","234"
"2015/5/22","241"
"2015/5/23","241"
"2015/5/24","242"
"2015/5/26","238"
"2015/5/28","238"
"2015/5/29","238"
"2015/5/30","237"
"2015/6/2","226"
"2015/6/4","227"
"2015/6/5","226"
"2015/6/6","226"
"2015/6/7","226"
"2015/6/9","231"
"2015/6/10","230"
"2015/6/11","230"
"2015/6/16","252"
"2015/6/17","257"
"2015/6/21","245"
"2015/6/22","248"
"2015/6/23","247"
"2015/6/25","243"
"2015/6/27","251"
"2015/6/28","251"
"2015/6/29","257"
"2015/6/30","268"
"2015/7/3","257"
"2015/7/4","261"
"2015/7/5","275"
"2015/7/7","271"
"2015/7/10","295"
"2015/7/11","299"
"2015/7/12","314"
"2015/7/16","291"
"2015/7/17","280"
"2015/7/18","283"
"2015/7/19","276"
"2015/7/22","278"
"2015/7/23","278"
"2015/7/27","298"
"2015/7/28","297"
"2015/7/29","295"
"2015/8/2","283"
"2015/8/3","285"
"2015/8/4","286"
"2015/8/5","286"
"2015/8/9","267"
"2015/8/10","267"
"2015/8/12","271"
"2015/8/13","266"
"2015/8/15","267"
"2015/8/16","262"
"2015/8/21","236"
"2015/8/22","235"
"2015/8/25","226"
"2015/8/27","229"
"2015/8/28","235"
"2015/9/1","231"
"2015/9/2","231"
"2015/9/3","230"
"2015/9/8","246"
"2015/9/9","244"
"2015/9/14","232"
"2015/9/15","259"
"2015/9/17","230"
"2015/9/20","232"
"2015/9/21","231"
"2015/9/25","237"
"2015/9/26","235"
"2015/9/27","235"
"2015/9/29","240"
"2015/10/2","239"
"2015/10/3","239"
"2015/10/4","239"
"2015/10/6","247"
"2015/10/7","247"
"2015/10/8","244"
"2015/10/9","244"
"2015/10/14","254"
"2015/10/15","256"
"2015/10/17","274"
"2015/10/20","271"
"2015/10/21","271"
"2015/10/25","294"
"2015/10/26","285"
"2015/10/27","296"
"2015/10/30","334"
"2015/11/1","327"
"2015/11/2","365"
"2015/11/4","496"
"2015/11/7","391"
"2015/11/8","390"
"2015/11/11","341"
"2015/11/13","341"
"2015/11/14","338"
"2015/11/16","332"
"2015/11/17","338"
"2015/11/19","335"
"2015/11/20","326"
"2015/11/24","323"
"2015/11/25","329"
"2015/11/26","367"
"2015/11/28","360"
"2015/11/30","382"
"2015/12/1","379"
"2015/12/2","362"
"2015/12/6","403"
"2015/12/7","400"
"2015/12/8","416"
"2015/12/12","469"
"2015/12/13","442"
"2015/12/14","447"
"2015/12/19","466"
"2015/12/20","463"
"2015/12/22","444"
"2015/12/25","458"
"2015/12/26","457"
"2015/12/27","424"
"2015/12/31","433"
"2016/1/1","436"
"2016/1/2","436"
"2016/1/6","432"
"2016/1/7","459"
"2016/1/8","463"
"2016/1/10","448"
"2016/1/12","448"
"2016/1/13","435"
"2016/1/18","388"
"2016/1/19","388"
"2016/1/20","425"
"2016/1/24","405"
"2016/1/25","402"
"2016/1/30","381"
"2016/1/31","380"
"2016/2/3","375"
"2016/2/4","392"
"2016/2/5","391"
"2016/2/6","387"
"2016/2/9","377"
"2016/2/11","383"
"2016/2/12","385"
"2016/2/17","421"
"2016/2/18","426"
"2016/2/19","423"
"2016/2/21","448"
"2016/2/23","440"
"2016/2/24","426"
"2016/2/29","442"
"2016/3/1","440"
"2016/3/5","411"
"2016/3/6","412"
"2016/3/7","416"
"2016/3/8","416"
"2016/3/9","416"
"2016/3/11","424"
"2016/3/12","422"
"2016/3/13","417"
"2016/3/14","417"
"2016/3/17","421"
"2016/3/18","421"
"2016/3/19","411"
"2016/3/23","419"
"2016/3/24","419"
"2016/3/25","418"
"2016/3/27","429"
"2016/3/30","417"
"2016/3/31","418"
"2016/4/1","418"
"2016/4/5","424"
"2016/4/6","425"
"2016/4/8","425"
"2016/4/9","421"
"2016/4/11","423"
"2016/4/12","427"
"2016/4/14","425"
"2016/4/16","433"
"2016/4/17","431"
"2016/4/18","429"
"2016/4/21","451"
"2016/4/23","450"
"2016/4/24","460"
"2016/4/26","468"
"2016/4/28","450"
"2016/4/29","455"
"2016/4/30","456"
"2016/5/5","449"
"2016/5/6","461"
"2016/5/9","462"
"2016/5/10","462"
"2016/5/11","455"
"2016/5/12","455"
"2016/5/15","459"
"2016/5/17","455"
"2016/5/18","456"
"2016/5/22","443"
"2016/5/23","444"
"2016/5/24","447"
"2016/5/29","554"
"2016/5/30","544"
"2016/6/2","540"
"2016/6/4","590"
"2016/6/5","583"
"2016/6/7","590"
"2016/6/10","579"
"2016/6/11","607"
"2016/6/16","774"
"2016/6/17","775"
"2016/6/18","778"
"2016/6/22","679"
"2016/6/23","629"
"2016/6/25","692"
"2016/6/28","659"
"2016/6/29","645"
"2016/7/3","705"
"2016/7/4","684"
"2016/7/5","683"
"2016/7/10","652"
"2016/7/11","660"
"2016/7/12","675"
"2016/7/16","666"
"2016/7/17","682"
"2016/7/18","682"
"2016/7/21","666"
"2016/7/22","667"
"2016/7/23","656"
"2016/7/24","663"
"2016/7/26","656"
"2016/7/28","658"
"2016/7/29","658"
"2016/7/30","658"
"2016/8/3","573"
"2016/8/4","580"
"2016/8/5","578"
"2016/8/7","598"
"2016/8/9","591"
"2016/8/10","600"
"2016/8/15","574"
"2016/8/16","582"
"2016/8/18","578"
"2016/8/19","578"
"2016/8/21","584"
"2016/8/22","588"
"2016/8/23","589"
"2016/8/25","580"
"2016/8/27","580"
"2016/8/28","574"
"2016/8/30","578"
"2016/8/31","578"
"2016/9/2","576"
"2016/9/3","600"
"2016/9/8","629"
"2016/9/9","627"
"2016/9/11","629"
"2016/9/12","608"
"2016/9/14","612"
"2016/9/15","611"
"2016/9/17","608"
"2016/9/19","611"
"2016/9/20","610"
"2016/9/21","604"
"2016/9/22","598"
"2016/9/26","608"
"2016/9/27","608"
"2016/9/28","607"
"2016/9/29","607"
"2016/10/1","615"
"2016/10/2","614"
"2016/10/3","613"
"2016/10/4","612"
"2016/10/8","620"
"2016/10/9","619"
"2016/10/11","642"
"2016/10/14","641"
"2016/10/15","642"
"2016/10/16","643"
"2016/10/20","632"
"2016/10/21","634"
"2016/10/26","680"
"2016/10/27","689"
"2016/11/1","736"
"2016/11/2","741"
"2016/11/3","746"
"2016/11/4","707"
"2016/11/7","711"
"2016/11/8","713"
"2016/11/9","740"
"2016/11/13","705"
"2016/11/14","706"
"2016/11/17","756"
"2016/11/19","756"
"2016/11/20","755"
"2016/11/21","742"
"2016/11/25","742"
"2016/11/26","742"
"2016/11/29","737"
"2016/12/1","758"
"2016/12/2","781"
"2016/12/6","766"
"2016/12/7","772"
"2016/12/8","775"
"2016/12/9","775"
"2016/12/11","775"
"2016/12/13","788"
"2016/12/14","782"
"2016/12/15","781"
"2016/12/18","795"
"2016/12/19","794"
"2016/12/20","801"
"2016/12/23","925"
"2016/12/25","900"
"2016/12/26","913"
"2016/12/29","979"
"2016/12/31","964"
"2017/1/1","1003"
"2017/1/5","1191"
"2017/1/6","1047"
"2017/1/7","909"
"2017/1/8","943"
"2017/1/12","826"
"2017/1/13","829"
"2017/1/15","823"
"2017/1/18","918"
"2017/1/19","905"
"2017/1/20","899"
"2017/1/22","938"
"2017/1/24","924"
"2017/1/25","903"
"2017/1/28","924"
"2017/1/30","923"
"2017/1/31","972"
"2017/2/4","1046"
"2017/2/5","1044"
"2017/2/6","1045"
"2017/2/9","1089"
"2017/2/10","999"
"2017/2/11","1009"
